0,0,0
0,0,3.853
0,0,7.6191
0,0,11.296
1,0,23.989
1,15,27.226
1,30,30.364
1,45,33.4
2,0,43.633
2,15,46.17
2,30,48.595
2,45,50.905
3,0,58.367
3,15,60.118
3,30,61.744
3,45,63.243
4,0,67.622
4,15,68.503
4,30,69.246
4,45,69.849
5,0,70.833
5,15,70.833
5,30,70.833
5,45,70.833
6,0,70.833
6,15,71.506
6,30,73.493
6,45,76.751
7,0,98.845
7,15,107.44
7,30,117.06
7,45,127.65
8,0,174.08
8,15,188.62
8,30,203.88
8,45,219.82
9,0,283.33
9,15,309.88
9,30,350.02
9,45,399.32
10,0,586.71
10,15,620.09
10,30,637.5
10,45,645.22
11,0,669.65
11,15,675.27
11,30,680.44
11,45,685.17
12,0,698.73
12,15,701.4
12,30,703.64
12,45,705.44
13,0,708.33
13,15,707.98
13,30,706.93
13,45,705.21
14,0,693.5
14,15,688.94
14,30,683.83
14,45,678.2
15,0,653.44
15,15,645.67
15,30,637.5
15,45,624.1
16,0,512.08
16,15,472.11
16,30,431.4
16,45,391.73
17,0,283.33
17,15,266.8
17,30,250.47
17,45,234.42
18,0,179.02
18,15,165.16
18,30,151.98
18,45,139.53
19,0,101.31
19,15,93.228
19,30,86.274
19,45,80.522
20,0,70.833
20,15,70.833
20,30,70.833
20,45,70.833
21,0,70.833
21,15,70.614
21,30,69.966
21,45,68.901
22,0,61.651
22,15,58.82
22,30,55.648
22,45,52.149
23,0,36.728
23,15,31.876
23,30,26.77
23,45,21.426
