0,0,150
0,0,150
0,0,150
0,0,150
1,0,150
1,15,150
1,30,150
1,45,150
2,0,150
2,15,150
2,30,150
2,45,150
3,0,150
3,15,150
3,30,150
3,45,150
4,0,150
4,15,150
4,30,150
4,45,150
5,0,150
5,15,150
5,30,150
5,45,150
6,0,150
6,15,150.3
6,30,151.18
6,45,152.64
7,0,162.84
7,15,166.91
7,30,171.52
7,45,176.67
8,0,200
8,15,235.1
8,30,319.89
8,45,445.52
9,0,1112.2
9,15,1311.1
9,30,1500.6
9,45,1671.8
10,0,2000
10,15,1991.3
10,30,1966.4
10,45,1927.1
11,0,1688.9
11,15,1606.2
11,30,1519.3
11,45,1430
12,0,1111.1
12,15,1034.4
12,30,965.51
12,45,906.21
13,0,800
13,15,806.08
13,30,821.6
13,45,842.52
14,0,900
14,15,897.1
14,30,888.8
14,45,875.7
15,0,796.3
15,15,768.73
15,30,739.76
15,45,710
16,0,603.7
16,15,578.14
16,30,555.17
16,45,535.4
17,0,500
17,15,514.25
17,30,551.72
17,45,604.44
18,0,800
18,15,831.47
18,30,863.24
18,45,894.86
19,0,1001.9
19,15,1026.6
19,30,1048.5
19,45,1067.2
20,0,1100
20,15,1098.8
20,30,1095.2
20,45,1089.2
21,0,1047.7
21,15,1031.3
21,30,1012.8
21,45,992.25
22,0,900
22,15,836.79
22,30,720.74
22,45,576.34
23,0,200
23,15,200
23,30,200
23,45,200
