0,0,0
0,0,1.2828
0,0,2.5367
0,0,3.761
1,0,7.9869
1,15,9.0648
1,30,10.109
1,45,11.12
2,0,14.527
2,15,15.372
2,30,16.179
2,45,16.948
3,0,19.433
3,15,20.016
3,30,20.557
3,45,21.056
4,0,22.514
4,15,22.807
4,30,23.055
4,45,23.256
5,0,23.583
5,15,23.583
5,30,23.583
5,45,23.583
6,0,23.583
6,15,23.807
6,30,24.469
6,45,25.553
7,0,32.909
7,15,35.772
7,30,38.973
7,45,42.498
8,0,57.958
8,15,62.799
8,30,67.881
8,45,73.188
9,0,94.333
9,15,103.17
9,30,116.54
9,45,132.95
10,0,195.34
10,15,206.45
10,30,212.25
10,45,214.82
11,0,222.96
11,15,224.83
11,30,226.55
11,45,228.12
12,0,232.64
12,15,233.53
12,30,234.27
12,45,234.87
13,0,235.83
13,15,235.72
13,30,235.37
13,45,234.79
14,0,230.9
14,15,229.38
14,30,227.68
14,45,225.8
15,0,217.56
15,15,214.97
15,30,212.25
15,45,207.79
16,0,170.49
16,15,157.18
16,30,143.63
16,45,130.42
17,0,94.333
17,15,88.829
17,30,83.392
17,45,78.047
18,0,59.603
18,15,54.989
18,30,50.599
18,45,46.454
19,0,33.732
19,15,31.04
19,30,28.724
19,45,26.809
20,0,23.583
20,15,23.583
20,30,23.583
20,45,23.583
21,0,23.583
21,15,23.51
21,30,23.294
21,45,22.94
22,0,20.526
22,15,19.584
22,30,18.528
22,45,17.362
23,0,12.228
23,15,10.613
23,30,8.913
23,45,7.1337
