0,0,200
0,0,200
0,0,200
0,0,200
1,0,200
1,15,200
1,30,200
1,45,200
2,0,200
2,15,200
2,30,200
2,45,200
3,0,200
3,15,200
3,30,200
3,45,200
4,0,200
4,15,200
4,30,200
4,45,200
5,0,200
5,15,201
5,30,206
5,45,213
6,0,262
6,15,280
6,30,300
6,45,322
7,0,411
7,15,437
7,30,464
7,45,491
8,0,588
8,15,614
8,30,639
8,45,662
9,0,737
9,15,753
9,30,768
9,45,779
10,0,800
10,15,799
10,30,798
10,45,797
11,0,788
11,15,785
11,30,781
11,45,776
12,0,758
12,15,752
12,30,745
12,45,739
13,0,713
13,15,705
13,30,697
13,45,689
14,0,658
14,15,650
14,30,641
14,45,632
15,0,600
15,15,589
15,30,577
15,45,562
16,0,495
16,15,475
16,30,455
16,45,434
17,0,364
17,15,348
17,30,333
17,45,321
18,0,300
18,15,309
18,30,336
18,45,377
19,0,600
19,15,666
19,30,730
19,45,788
20,0,900
20,15,893
20,30,875
20,45,848
21,0,700
21,15,655
21,30,612
21,45,574
22,0,500
22,15,500
22,30,500
22,45,500
23,0,500
23,15,500
23,30,500
23,45,500
