0,763
15,763
30,763
45,763
100,763
115,764.21
130,767.79
145,773.63
200,813
215,886.83
230,1052.7
245,1270.4
300,1858
315,1843.3
330,1804.1
345,1747.7
400,1513
415,1458.8
430,1398
445,1336.7
500,1203
515,1243.5
530,1346.9
545,1486.2
600,1869
615,1795.3
630,1607
645,1353.2
700,656
715,714.5
730,864.01
745,1065.5
800,1619
815,1618.7
830,1617.7
845,1616
900,1605
915,1593.1
930,1567.1
945,1529.9
1000,1343
1015,1269.7
1030,1167.8
1045,1053.1
1100,776
1115,813.66
1130,909.92
1145,1039.7
1200,1396
1215,1375
1230,1319.8
1245,1241.9
1300,950
1315,900.24
1330,849.24
1345,800.61
1400,701
1415,704.12
1430,713.16
1445,727.61
1500,819
1515,904.14
1530,1071.3
1545,1283.3
1600,1843
1615,1767.9
1630,1576
1645,1317.4
1700,607
1715,622.55
1730,662.3
1745,715.86
1800,863
1815,845.81
1830,801.87
1845,742.65
1900,580
1915,615.42
1930,705.93
1945,827.92
2000,1163
2015,1123.9
2030,1023.9
2045,889.14
2100,519
2115,599.62
2130,805.63
2145,1083.3
2200,1846
2215,1782.2
2230,1619
2245,1399.1
2300,795
2315,795
2330,795
2345,795
