0,150
15,150
30,150
45,150
100,150
115,150
130,150
145,150
200,150
215,150
230,150
245,150
300,150
315,150
330,150
345,150
400,150
415,150
430,150
445,150
500,150
515,150
530,150
545,150
600,150
615,150.3
630,151.18
645,152.64
700,162.84
715,166.91
730,171.52
745,176.67
800,200
815,235.1
830,319.89
845,445.52
900,1112.2
915,1311.1
930,1500.6
945,1671.8
1000,2000
1015,1991.3
1030,1966.4
1045,1927.1
1100,1688.9
1115,1606.2
1130,1519.3
1145,1430
1200,1111.1
1215,1034.4
1230,965.51
1245,906.21
1300,800
1315,806.08
1330,821.6
1345,842.52
1400,900
1415,897.1
1430,888.8
1445,875.7
1500,796.3
1515,768.73
1530,739.76
1545,710
1600,603.7
1615,578.14
1630,555.17
1645,535.4
1700,500
1715,514.25
1730,551.72
1745,604.44
1800,800
1815,831.47
1830,863.24
1845,894.86
1900,1001.9
1915,1026.6
1930,1048.5
1945,1067.2
2000,1100
2015,1098.8
2030,1095.2
2045,1089.2
2100,1047.7
2115,1031.3
2130,1012.8
2145,992.25
2200,900
2215,836.79
2230,720.74
2245,576.34
2300,200
2315,200
2330,200
2345,200
